txpool size,tx,ctx
1599,758,604
4736,1185,815
6205,1027,973
7898,1002,998
11816,1328,672
16295,1143,857
18510,1499,501
24226,987,1013
28277,1491,509
33535,920,1080
33664,963,1037
32690,1231,769
31672,943,1057
30157,916,1084
29061,1423,577
28620,940,1060
27563,953,1047
25563,1487,513
24115,957,1043
23087,938,1062
22091,1538,462
21736,924,1076
20680,953,1047
19176,1207,793
18073,970,1030
16073,915,1085
15688,1199,801
13688,1310,690
13078,2000,0
12055,2000,0
11050,2000,0
9050,2000,0
7265,2000,0
5265,2000,0
3265,2000,0
1265,2000,0
0,1265,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
